,l_edge,r_edge,n,fr,fr_std,mark
0,145656,146224,6,10.683760683760685,1.3368514413030992,3
1,146319,146720,5,13.289036544850498,0.4549768069840553,3
2,158595,159124,2,2.331002331002331,0.0,2
3,159352,159576,3,16.129032258064516,0.6007807171588198,2
4,159796,160622,3,2.7548209366391188,0.18840593443946538,2
5,162223,163099,3,2.5773195876288657,0.06519658422935252,2
6,163131,164182,3,2.1030494216614093,0.03447244589097066,2
7,164151,164381,3,15.384615384615383,1.0932076102998824,2
8,164944,165508,2,2.155172413793103,0.0,2
9,172156,172531,2,3.6363636363636362,0.0,1
10,172951,173479,2,2.336448598130841,0.0,1
11,172534,172948,2,3.1847133757961785,0.0,1
12,181696,182223,2,2.34192037470726,0.0,1
13,182719,182946,3,15.748031496062993,1.6466062609413346,1
14,182303,182703,2,3.3333333333333335,0.0,1
15,185649,186466,3,2.789400278940028,0.18193492490350777,1
16,186502,187067,2,2.150537634408602,0.0,1
17,189248,190225,3,2.280501710376283,0.034530114431678964,1
18,190453,191116,4,5.328596802841918,0.9472216654522156,1
19,193186,193911,2,1.6,0.0,1
20,196331,198104,4,1.7931858936043037,0.17000893422878657,1
21,200443,200856,2,3.194888178913738,0.0,1
22,200967,202837,4,1.6949152542372883,0.008457110855432208,1
23,204934,206214,5,3.3898305084745766,0.23501733667512825,1
24,206172,206763,2,2.0366598778004072,0.0,1
25,208756,209361,2,1.9801980198019802,0.0,1
26,208313,208790,2,2.6525198938992043,0.0,1
27,212079,213173,3,2.0120724346076457,0.056096767569404474,1
28,216182,216775,2,2.028397565922921,0.0,1
29,219079,219654,2,2.1052631578947367,0.0,1
30,222737,222994,2,6.369426751592357,0.0,1
